state,name,GEOID,NAME,variable,estimate,moe,summary_est,summary_moe,pre_20_rep,pre_20_dem,biden_vshare
Alabama,Blount,01009,"Blount County, Alabama",medincome,48922,2269,57755,NA,24564.899999999998,2637.7000000000003,0.09696499599303009
Alabama,Marshall,01095,"Marshall County, Alabama",medincome,50216,1709,96137,NA,33229,5951.4000000000005,0.1518973772600586
Alabama,Cullman,01043,"Cullman County, Alabama",medincome,48388,2887,83345,NA,37007.1,4478.0999999999985,0.10794451997338807
Alabama,Mobile,01097,"Mobile County, Alabama",medincome,49625,1232,413977,NA,101285.90000000001,79499.19999999998,0.43974420458323166
Alabama,Colbert,01033,"Colbert County, Alabama",medincome,47962,3470,54957,NA,19238.500000000004,8336.699999999999,0.30232600307522695
Alabama,Crenshaw,01041,"Crenshaw County, Alabama",medincome,42611,2556,13826,NA,4868.0999999999995,1698.6000000000001,0.25866873772214355
Alabama,Hale,01065,"Hale County, Alabama",medincome,30793,5559,14754,NA,3177.7,4716.8,0.5974792577110647
Alabama,Pike,01109,"Pike County, Alabama",medincome,39218,3492,33274,NA,8040.1,5635.500000000001,0.4120842961186347
Alabama,Wilcox,01131,"Wilcox County, Alabama",medincome,35063,4497,10552,NA,1833.1999999999996,4047.999999999999,0.6882949058015371
Alabama,Lawrence,01079,"Lawrence County, Alabama",medincome,47125,3694,32969,NA,12330.7,3579.4999999999995,0.22498145843546904
Alabama,Conecuh,01035,"Conecuh County, Alabama",medincome,35444,3137,12219,NA,3442.3000000000006,2966,0.4628372579311205
Alabama,Madison,01089,"Madison County, Alabama",medincome,66887,1747,367686,NA,102759.49999999999,87279.90000000001,0.45927265609131585
Alabama,Shelby,01117,"Shelby County, Alabama",medincome,78889,2171,216350,265,79723.40000000001,33350.700000000004,0.29494552687131714
Alabama,Talladega,01121,"Talladega County, Alabama",medincome,43969,2845,80244,NA,22220.2,13126.100000000002,0.3713571151718851
Alabama,Jefferson,01073,"Jefferson County, Alabama",medincome,55088,1091,658615,265,138811.49999999994,181607.9,0.5667818490391032
Alabama,Etowah,01055,"Etowah County, Alabama",medincome,44934,1643,102721,NA,35501.5,11563.100000000002,0.24568571707822867
Alabama,Autauga,01001,"Autauga County, Alabama",medincome,57982,4839,55639,NA,19851.300000000003,7510.7,0.27449382355090995
Alabama,Pickens,01107,"Pickens County, Alabama",medincome,40362,2740,20049,NA,5593.199999999999,4020.1000000000004,0.4181810616541667
Alabama,Sumter,01119,"Sumter County, Alabama",medincome,26150,2033,12595,NA,1603.1,4635.799999999999,0.7430476526310728
Alabama,Clarke,01025,"Clarke County, Alabama",medincome,37345,5617,23866,NA,7334.4,5750.199999999999,0.4394631857297892
