st,inc,inc_med,biden_vshare,d_2020,r_2020
AK,63502,75463,0.4473815127615069,153778,189951
AL,46479,51734,0.3708862516664528,849624,1441170
AR,47235,48952,0.3578756672201685,423932,760647
AZ,49648,62055,0.5015683167912931,1672143,1661686
CA,70192,80440,0.6490891136066756,11110250,6006429
CO,63776,77127,0.5693831949230015,1804352,1364607
CT,78609,78833,0.6019504908807785,1080831,714717
DE,56097,70176,0.5962674416498447,296268,200603
FL,55675,59227,0.48305245337858443,5297045,5668731
GA,51780,61980,0.5011932966290864,2473633,2461854
HI,58655,83102,0.6503266464651488,366130,196864
IA,53478,61691,0.4581673691536295,759061,897672
ID,48759,60999,0.3412285707492213,287021,554119
IL,62930,69187,0.5865904373280693,3471915,2446891
IN,51926,57603,0.4180495199255704,1242416,1729519
KS,56099,62087,0.4250657174436865,570323,771406
KY,47339,52295,0.36799897099737033,772474,1326646
LA,50874,51073,0.4053555954370895,856034,1255776
MA,78458,85843,0.67115549540148145,2382202,1167202
MD,66799,86738,0.6702904704709234,1985023,976414
ME,54211,58924,0.5467040458200397,435072,360737
MI,53259,59584,0.5141355934440947,2804040,2649852
MN,62005,74593,0.5363951364856667,1717077,1484065
MO,51697,57409,0.4216417935559855,1253014,1718736
MS,42129,45792,0.4161501417261114,539398,756764
MT,53361,57153,0.41602819907951893,244786,343602
NC,50305,57341,0.4931581746681328,2684292,2758773
ND,61530,64577,0.3278259157710337,114902,235595
NE,57570,63229,0.40215947753398273,374583,556846
NH,67097,77933,0.5374834772159505,424921,365654
NJ,73460,85751,0.5807128358679484,2608335,1883274
NM,46338,51945,0.5551849015171975,501614,401894
NV,53720,63276,0.512231173400438,703486,669890
NY,74472,72108,0.6171683489301224,5230985,3244798
OH,53641,58642,0.45923302352297285,2679165,3154834
OK,49878,54449,0.3305996050309349,503890,1020280
OR,56312,67058,0.5830715698544173,1340383,958448
PA,61700,63463,0.5058920525934906,3458229,3377674
RI,60825,71169,0.6059935988395926,307486,199922
SC,48021,56227,0.44073391250417904,1091541,1385103
SD,59281,59533,0.365652201383185,150471,261043
TN,51046,56071,0.38172229627933646,1143711,1852475
TX,55129,64034,0.4716927876322047,5259126,5890347
UT,52204,75780,0.39306394878148365,560282,865140
VA,61958,76456,0.551546869993999,2413568,1962430
VT,59187,63001,0.6829918655280656,242820,112704
WA,67126,78687,0.599255031847907,2369612,1584651
WI,55593,64168,0.5031906326653399,1630866,1610184
WV,44994,48850,0.3020146768607797,235984,545382
WY,61855,65003,0.27519565624414905,73491,193559
